"","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld","covariate","model","lcl","ucl"
"SES_HH_Q1_prop_stand",0.999467854637258,0.00497975210834006,-0.0102972253535487,-0.000532255422190225,0.00923247165108125,-0.000532255241684659,5.1460315265563e-11,"low SES","Infection model",0.989755609564911,1.00927522238116
"MBG_group_Antilles_prop_stand",1.02136212904603,0.00405693902469779,0.0131817467055035,0.021137188428046,0.0290923871375034,0.0211371881165027,4.90872323693813e-11,"Migration: Antilles","Infection model",1.0132690089299,1.02951970446009
"MBG_group_Marocco_prop_stand",1.03732459618523,0.00379627410237431,0.0292006262978564,0.0366449219407958,0.0440890079884553,0.036644921573996,4.77598848886768e-11,"Migration: Marocco","Infection model",1.02963114483947,1.04507537080534
"MBG_group_Surinam_prop_stand",1.01271000716678,0.00410873853900948,0.0045723267185129,0.0126301366316277,0.0206862125198713,0.012630133821829,4.53859690160596e-11,"Migration: Surinam","Infection model",1.00458279575419,1.02090165521412
"MBG_group_Turkiye_prop_stand",1.02761362239389,0.00383040649586872,0.0197283024100609,0.0272391817402296,0.0347505318703048,0.0272391820227189,4.85345115503876e-11,"Migration: Turkey","Infection model",1.01992419143343,1.03536138691067
"MBG_group_Other_W_prop_stand",0.954711889059487,0.00563903920918921,-0.0574039754953827,-0.0463454439419357,-0.0352886633731557,-0.0463454444102489,5.15626098514984e-11,"Migration: Other (Western)","Infection model",0.944212553576119,0.965326721567382
"MBG_group_Other_nW_prop_stand",0.981361194602144,0.00462988464293705,-0.0278936859574747,-0.0188146244581749,-0.0097361224803761,-0.0188146246220357,5.21376846805806e-11,"Migration: Other (non-Western)","Infection model",0.972491750834916,0.990311120115885
"SES_HH_Q1_prop_stand1",1.08982544803909,0.0143796811340267,0.0578432825748659,0.0860081632179181,0.114245359041935,0.0860082073835081,1.12765259883939e-10,"low SES","Hospitalisation model",1.05954893291759,1.12102714528975
"MBG_group_Antilles_prop_stand1",1.01341639413629,0.010051495358905,-0.00638855308568779,0.0133288038685397,0.0330336970752671,0.0133287945553181,2.46655947797636e-11,"Migration: Antilles","Hospitalisation model",0.993631810332241,1.03358536745842
"MBG_group_Marocco_prop_stand1",1.08695964078113,0.00868834250039784,0.066353450044591,0.0833820134755706,0.100429737306535,0.0833820653866131,3.52459647453826e-11,"Migration: Marocco","Hospitalisation model",1.06860434867982,1.10564595331211
"MBG_group_Surinam_prop_stand1",1.07209340739726,0.00851557785207801,0.0529227242191758,0.0696099087158474,0.0863226053266829,0.0696099729888074,4.30779253057636e-11,"Migration: Surinam","Hospitalisation model",1.05434816639341,1.09015796234815
"MBG_group_Turkiye_prop_stand1",1.04011599990141,0.00836018969233471,0.0229390980337394,0.0393317491050543,0.0557282033177189,0.0393317454131455,1.61219378750409e-11,"Migration: Turkey","Hospitalisation model",1.02320422250059,1.05731027125563
"MBG_group_Other_W_prop_stand1",0.922598012311931,0.0152168218891154,-0.110371259428119,-0.080572241924263,-0.0506909254760041,-0.0805720106426147,1.5216021004523e-10,"Migration: Other (Western)","Hospitalisation model",0.895501610158135,0.950572422853526
"MBG_group_Other_nW_prop_stand1",0.994192743978807,0.0156800129678162,-0.036614543701222,-0.00580994091364691,0.0248838766720914,-0.00581027120424582,2.3567857090767e-10,"Migration: Other (non-Western)","Hospitalisation model",0.964047661984447,1.02519606443321
